Escenario,Falla,Generador,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,PG_0,RES_UP,PG_S,DPG
m2-d19-h18,multiple PV zona norte del sic,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,Los_Vientos,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,San_Isidro_02_GNL,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,CenValdivia-Ciruelos_Diesel,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,0.0,0.0,0.0,0.0
